Designator,Qty,Value,Package/Footprint,Type,Manufacturer Part Number,BOM Notes,Notes,,,
"U102, U202",2,AD9235,TSSOP-28_4.4x9.7mm_P0.65mm,SMD,AD9235BRUZ-40,Use Exact Part Yes,-20 = 20msps / -40 = 40msps / -65 = 65msps https://m.tb.cn/h.5tW5QqMkqOTZUye?tk=rmCIW9Fmz03,,,
"U2, U3, U4, U5",4,"74VHC541D,118",SOIC-20W_7.5x12.8mm_P1.27mm,SMD,"74VHC541D,118",Use Exact Part Yes,,,,
U6,1,TPS60401,SOT-23-5,SMD,"TPS60401DBVT
",Use Exact Part Yes,,,,
U7,1,ADP7156ARDZ,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,SMD,ADP7156ARDZ-3.3-R7,Use Exact Part Yes,,,,
X1,1,40Mhz,Oscillator_XO91_4Pin_7.0x5.0mm,SMD,CB3LV-5I-40M0000,Use Exact Part Yes,,,,
,,,,,,,,,,
PCBWay Friendly Version v1.6,,,,,,,,,,
Grand Total Parts: 192,,,,,,,,,,
Total Unique Parts: 50,,,,,,,,,,
,,,,,,,,,,
Allow Substitutes yes.,,,,,,,,,,
Date: 05.02.2025 (DD.MM.YYYY),,,,,,,,,,
Note: Mounting Holes 3.2mm M3,,,,,,,,,,
,,,,,,,,,,
